Ring_No,Ringed_date,Ringed_day,Ringed_month,Ringed_year,EurAgeCode,EurAgeText,SEX
132317,6/25/2003,25,6,2003,1,Pullus,F
132318,6/25/2003,25,6,2003,1,Pullus,F
132319,6/25/2003,25,6,2003,1,Pullus,F
132320,6/30/2003,30,6,2003,1,Pullus,F
132321,6/27/2003,27,6,2003,1,Pullus,F
132322,6/27/2003,27,6,2003,1,Pullus,F
132323,6/30/2003,30,6,2003,1,Pullus,F
132325,6/30/2003,30,6,2003,1,Pullus,F
132327,6/19/2004,19,6,2004,1,Pullus,F
132328,6/19/2004,19,6,2004,1,Pullus,F
132329,6/19/2004,19,6,2004,1,Pullus,F
132330,6/19/2004,19,6,2004,1,Pullus,F
132331,6/20/2004,20,6,2004,1,Pullus,F
132332,6/21/2004,21,6,2004,1,Pullus,F
132333,6/21/2004,21,6,2004,1,Pullus,F
132334,6/22/2004,22,6,2004,1,Pullus,F
132335,6/22/2004,22,6,2004,1,Pullus,F
132336,6/22/2004,22,6,2004,1,Pullus,F
132337,6/23/2004,23,6,2004,1,Pullus,F
132338,6/24/2004,24,6,2004,1,Pullus,F
132339,6/24/2004,24,6,2004,1,Pullus,F
132340,6/24/2004,24,6,2004,1,Pullus,F
132341,6/25/2004,25,6,2004,1,Pullus,F
132342,6/25/2004,25,6,2004,1,Pullus,F
132343,6/25/2004,25,6,2004,1,Pullus,F
132344,6/25/2004,25,6,2004,1,Pullus,F
132345,6/26/2004,26,6,2004,1,Pullus,F
132346,6/26/2004,26,6,2004,1,Pullus,F
132347,6/27/2004,27,6,2004,1,Pullus,F
132451,6/21/2005,21,6,2005,1,Pullus,0
132452,6/21/2005,21,6,2005,1,Pullus,F
132453,6/21/2005,21,6,2005,1,Pullus,F
132454,6/21/2005,21,6,2005,1,Pullus,F
132455,6/22/2005,22,6,2005,1,Pullus,F
132456,6/23/2005,23,6,2005,1,Pullus,F
132457,6/23/2005,23,6,2005,1,Pullus,F
132458,6/24/2005,24,6,2005,1,Pullus,F
132459,6/24/2005,24,6,2005,1,Pullus,F
132460,6/21/2005,21,6,2005,1,Pullus,0
132461,6/24/2005,24,6,2005,1,Pullus,0
132462,6/24/2005,24,6,2005,1,Pullus,0
132463,6/24/2005,24,6,2005,1,Pullus,0
132464,6/28/2005,28,6,2005,1,Pullus,F
132465,6/28/2005,28,6,2005,1,Pullus,F
132466,6/29/2005,29,6,2005,1,Pullus,F
132467,6/29/2005,29,6,2005,1,Pullus,F
132468,6/30/2005,30,6,2005,1,Pullus,F
132488,6/20/2006,20,6,2006,1,Pullus,0
132489,6/20/2006,20,6,2006,1,Pullus,0
132490,6/20/2006,20,6,2006,1,Pullus,F
132491,6/21/2006,21,6,2006,1,Pullus,F
132492,6/21/2006,21,6,2006,1,Pullus,F
132493,6/25/2006,25,6,2006,1,Pullus,F
132494,6/25/2006,25,6,2006,1,Pullus,F
132495,6/28/2006,28,6,2006,1,Pullus,0
132498,6/19/2007,19,6,2007,1,Pullus,F
132499,6/19/2007,19,6,2007,1,Pullus,F
132702,6/19/2007,19,6,2007,1,Pullus,F
132703,6/20/2007,20,6,2007,1,Pullus,F
132704,6/20/2007,20,6,2007,1,Pullus,F
132705,6/20/2007,20,6,2007,1,Pullus,F
132706,6/20/2007,20,6,2007,1,Pullus,F
132707,6/20/2007,20,6,2007,1,Pullus,F
